Schulhaus;Geo Point
"Kreuzbühl";47.40208705177041,9.298573218928352
"Hof";47.40440180803444,9.31774575192978
"Boppartshof";47.40329815301696,9.334615916102052
"Engelwies";47.41171163449026,9.333284360470007
"Feldli";47.421806717822605,9.351646456311219
"Schoren";47.42285192577278,9.357976817178551
"Oberzil";47.441318297521676,9.410106724800869
"Krontal";47.43392090680835,9.397724465590064
"Grossacker";47.42978391532983,9.397143455115977
"Riethüsli";47.41133659582257,9.364920763251622
"Spelterini";47.42978204194918,9.381277367872213
"Halden";47.43469362948038,9.411573407563768
"Rotmonten";47.43686182393433,9.376100489185609
"Gerhalde";47.43821568453724,9.386143192119324
"St.Leonhard";47.42062954552802,9.368668960492725
"Schönenwegen";47.41727518713218,9.350587335104892
"Hebel-Bach";47.41729362675213,9.383205466397689
"Bach";47.41517235049877,9.388898742752284
"Heimat";47.437299720760294,9.390367924522476
"Buchwald";47.43686692973638,9.393023721043281
"Ost-Buchental";47.435149093070436,9.398172441946732
"Ost-Zil";47.44509999971837,9.410081556812328
"Centrum-Bürgli";47.42948102315472,9.382760881785563
"Centrum-Blumenau";47.428130828019334,9.378948366315246
"West-Engelwies";47.41225530879401,9.33333681573995
"West-Schönau";47.41680142926819,9.347219107430467
"Timeout-Schule";47.41459539588323,9.390787116711255
