AccidentUID,AccidentType,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,AccidentYear,AccidentMonth,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_en,AccidentHour,AccidentHour_text,Longitude,Latitude
99797FE6A1AB50A4E0430A865E3350A4,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt432,2011,1,January,aw401,Monday,18.0,18h-19h,9.388933421067478,47.42951732502742
99657DAA168690B4E0430A865E3390B4,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,False,rt433,2011,1,January,aw403,Wednesday,19.0,19h-20h,9.373927761883253,47.42594590668084
99AE7B25B24610B0E0430A865E3310B0,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,1,January,aw402,Tuesday,19.0,19h-20h,9.330881857248443,47.40917804051945
9BF0F57541FD6006E0430A865E336006,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt433,2011,2,February,aw401,Monday,8.0,08h-09h,9.36886712871929,47.42092933685724
9BFE29279ECD40DCE0430A865E3340DC,at4,Accident when turning-into main road,as3,Accident with light injuries,False,True,False,rt432,2011,2,February,aw403,Wednesday,17.0,17h-18h,9.387833383928237,47.43387236755834
9BFE292748FF40DCE0430A865E3340DC,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt432,2011,2,February,aw404,Thursday,8.0,08h-09h,9.387677991536451,47.42492310816086
9DB7E9652C6F303AE0430A865E33303A,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt433,2011,2,February,aw401,Monday,10.0,10h-11h,9.377506600573392,47.43102311634159
9DF704CBD4AD8002E0430A865E338002,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,2011,2,February,aw401,Monday,16.0,16h-17h,9.296834579130806,47.398151907199
A069578534E220B6E0430A865E3320B6,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,2011,2,February,aw402,Tuesday,12.0,12h-13h,9.367081866450398,47.43092761505531
A0DC455ECC47B044E0430A865E33B044,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,2011,2,February,aw402,Tuesday,12.0,12h-13h,9.366813923348355,47.4308511140687
9BFF47B17E42800AE0430A865E33800A,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt439,2011,2,February,aw403,Wednesday,11.0,11h-12h,9.345155471576371,47.41621279421499
9BFE2927BEC640DCE0430A865E3340DC,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,2,February,aw403,Wednesday,13.0,13h-14h,9.374332907847075,47.4272436626217
9F717542B4435088E0430A865E335088,at8,Accident involving pedestrian(s),as3,Accident with light injuries,False,False,False,rt433,2011,2,February,aw403,Wednesday,15.0,15h-16h,9.338374276214193,47.40336011646765
9DE0A637154F10C6E0430A865E3310C6,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,3,March,aw403,Wednesday,11.0,11h-12h,9.367831285011365,47.421243529644954
A0CA406BA1FE40BCE0430A865E3340BC,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,2011,3,March,aw405,Friday,15.0,15h-16h,9.343569071348265,47.42262666440429
9DF957610062701AE0430A865E33701A,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,2011,3,March,aw405,Friday,16.0,16h-17h,9.326854372580177,47.407723480637884
9DF701EDB44BF07CE0430A865E33F07C,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,2011,3,March,aw401,Monday,17.0,17h-18h,9.36151409136289,47.41920757473008
9EFC87F3B5BF3078E0430A865E333078,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,3,March,aw406,Saturday,15.0,15h-16h,9.296740625368924,47.39811743173088
9DF70820D108F0ACE0430A865E33F0AC,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt433,2011,3,March,aw406,Saturday,16.0,16h-17h,9.390833662054783,47.43252618566662
